,id,source,destination,surge_multiplier,price,cab_type,datetime,short_summary,distance
460167,7e49f567-ab32-412b-997d-05a4f0b0f658,North Station,South Station,1.0,16.5,Lyft,2018-11-26 17:53:09, Overcast ,2.15
616513,3f6cff70-7b2d-4645-b2de-7ae98d73c964,Boston University,Back Bay,1.0,26.0,Lyft,2018-11-28 11:11:07, Mostly Cloudy ,1.96
488561,63b704b0-0199-491a-886e-a2303b06a10e,Back Bay,South Station,1.0,13.5,Lyft,2018-11-28 15:41:23, Mostly Cloudy ,1.35
327319,dfc1836a-46cd-4cf2-abef-0cea30e532b3,Theatre District,Northeastern University,1.0,19.5,Lyft,2018-12-03 13:33:02, Overcast ,2.15
338457,ad1266ed-b2ff-46e6-89b9-106dae9ccbf1,Beacon Hill,Haymarket Square,1.0,5.0,Lyft,2018-12-16 06:35:08, Clear ,1.39
296232,836758f4-c3a1-4fdb-92e3-2369a1b704d6,Haymarket Square,Back Bay,1.0,22.5,Lyft,2018-11-29 00:39:29, Mostly Cloudy ,2.37
50621,7c59a331-477d-46e9-8e0d-0c5a37951228,Fenway,North Station,1.0,13.5,Lyft,2018-12-02 07:13:05, Overcast ,3.22
550977,16d666bb-0e11-4ed7-875d-dc317d51a694,Theatre District,Fenway,1.75,30.0,Lyft,2018-11-29 01:28:38, Mostly Cloudy ,3.12
653676,bd1baf72-534e-44a3-b316-329e672d5776,Beacon Hill,Boston University,1.0,9.5,Uber,2018-12-15 10:20:03, Overcast ,2.25
118971,0ce543b0-a71d-4b66-ae66-f4a710a24762,Boston University,Theatre District,1.0,31.5,Uber,2018-12-03 08:53:03, Foggy ,2.98
74394,a541035c-7585-4c09-b2b6-862c37a26917,North Station,Boston University,1.0,11.0,Lyft,2018-11-26 06:26:02, Overcast ,3.14
647139,6f51cd95-7df7-42d0-b9d2-500d57a7ba64,West End,Haymarket Square,1.0,16.5,Lyft,2018-11-28 09:35:08, Partly Cloudy ,0.77
280433,dcb21b2f-b18a-4e78-8b86-21b2a2a2861a,Haymarket Square,Theatre District,1.0,9.5,Uber,2018-11-27 23:03:23, Partly Cloudy ,1.18
395987,515a8a87-0872-41f5-bc25-9c88c09280e4,North End,Theatre District,1.0,27.5,Lyft,2018-12-03 18:53:02, Overcast ,1.54
123390,0252240f-763b-4d7d-afc7-c5e287cd4b30,South Station,North Station,1.0,5.0,Lyft,2018-11-26 21:44:10, Overcast ,1.69
203724,7b78396d-9ed1-4d06-897d-9d9e8ca63594,West End,Fenway,1.0,34.0,Lyft,2018-12-17 20:35:16, Mostly Cloudy ,2.94
12309,d0ba7ef6-a5fc-4a29-94e8-cb12160ab8ec,Haymarket Square,Theatre District,1.0,13.5,Lyft,2018-11-27 01:57:23, Rain ,1.52
125203,6118f7b2-be0c-4b1f-8d45-46e1493dd800,North Station,Haymarket Square,1.0,8.0,Uber,2018-12-15 02:05:10, Overcast ,0.56
153789,442071b3-876c-47d9-975d-1be716bfa18c,Theatre District,North End,1.0,14.0,Uber,2018-12-18 17:05:09, Clear ,1.57
568368,677a8908-8f64-46db-b1dc-4fb9814da219,Back Bay,Northeastern University,1.0,16.5,Lyft,2018-12-16 07:45:09, Partly Cloudy ,1.07
188428,e2de8474-410a-4f14-b798-79a5cd859642,North End,Theatre District,1.0,15.0,Uber,2018-12-17 11:45:12, Overcast ,1.41
191809,847c0d2d-c300-4602-9e50-1d0d6def0f4f,North Station,Haymarket Square,1.0,12.0,Uber,2018-12-03 07:28:01, Overcast ,0.56
390310,76647e89-8a63-40cb-9b70-e2fa2f9c1a16,Theatre District,Northeastern University,1.0,17.5,Uber,2018-12-16 15:55:10, Overcast ,1.81
205474,366416b4-670b-4bf1-bbb6-e621eba96417,Financial District,Fenway,1.0,13.0,Uber,2018-12-01 00:47:57, Overcast ,4.48
465393,b4644454-e66b-40f2-aa26-8ff949b22b47,North Station,South Station,1.0,28.0,Uber,2018-12-16 10:35:06, Overcast ,2.12
645091,f759d2db-ce25-4f84-af1f-959bbb47427d,Beacon Hill,Fenway,1.0,10.5,Lyft,2018-12-02 21:23:00, Possible Drizzle ,2.33
585018,70d67916-61fc-44bb-876d-973b108bec25,North Station,North End,1.0,27.5,Uber,2018-12-03 20:27:57, Mostly Cloudy ,2.12
567260,1c661a03-d180-45a5-9157-64a1b05aac94,Theatre District,Northeastern University,1.0,8.5,Uber,2018-12-14 04:30:13, Overcast ,1.8
529453,2b0ea574-bf91-4589-ae83-dff79fb04f95,Financial District,Fenway,1.0,20.5,Uber,2018-12-16 22:25:08, Possible Drizzle ,4.48
205768,602a98ed-b740-4dae-9981-8d9bc3ba3195,Beacon Hill,Northeastern University,1.0,7.0,Lyft,2018-12-16 01:15:03, Partly Cloudy ,2.52
684282,98c4ecab-f814-48af-a9b6-3decc998ae5d,Fenway,West End,1.0,22.5,Lyft,2018-11-29 19:23:06, Mostly Cloudy ,2.85
67322,e82e328d-2872-418e-a943-1557f679df5c,Beacon Hill,Boston University,1.0,30.0,Lyft,2018-12-02 20:53:06, Possible Drizzle ,2.32
120219,598cc3ca-4ed6-4e13-8187-5bc07f1e9b78,Financial District,South Station,1.0,7.0,Uber,2018-11-29 00:58:41, Mostly Cloudy ,0.39
344584,77252feb-001a-485f-bcc8-679fd44b2a2b,South Station,Financial District,1.0,16.0,Uber,2018-12-03 06:58:01, Foggy ,0.63
597673,65626f0e-8717-4d90-8c73-85d0b5bb6646,North End,Theatre District,1.0,7.5,Uber,2018-12-18 19:00:16, Clear ,1.41
414972,29a7a052-c20d-434b-b73c-400c2049813b,North Station,North End,1.0,12.0,Uber,2018-11-28 10:08:08, Partly Cloudy ,1.08
278328,be3727ae-3bbf-428e-93fd-bb3a5558c83f,Haymarket Square,North Station,1.0,16.0,Uber,2018-11-28 11:47:07, Mostly Cloudy ,0.49
265886,f582032e-d8ab-44dd-84c6-02b8a5f4f75b,Back Bay,Boston University,1.0,8.5,Uber,2018-12-01 18:08:00, Partly Cloudy ,1.39
493504,d79e91f5-fa6e-436f-bad7-ee800f32a9ad,North Station,Haymarket Square,1.0,7.0,Uber,2018-12-18 18:35:04, Clear ,0.56
455204,415c7372-b3b5-45f9-b518-8a6b6e8e778c,West End,Northeastern University,1.0,24.0,Uber,2018-11-26 22:59:09, Possible Drizzle ,3.08
668599,66b177ef-9fe3-4a28-b77d-a7145ae0ba8f,Boston University,West End,1.0,9.0,Uber,2018-11-28 13:16:26, Partly Cloudy ,3.04
157037,6d586ed6-df90-4fba-abd8-e237ca2c82eb,South Station,North Station,1.0,8.5,Uber,2018-11-28 20:05:08, Overcast ,2.29
38693,93848640-d48a-454a-a33a-dce1dd9c3f35,Northeastern University,North Station,1.0,11.0,Lyft,2018-12-16 18:15:05, Overcast ,3.21
209882,d121a259-fe8d-4b25-ad56-c14492145fdc,Haymarket Square,North Station,1.0,16.5,Lyft,2018-11-26 06:14:17, Overcast ,0.57
379124,eed29fcd-777b-4193-bfb0-b6d3d2300a54,Back Bay,Haymarket Square,1.0,19.5,Lyft,2018-12-18 10:30:07, Mostly Cloudy ,2.2
153322,519e57a7-7454-4b87-aa5a-e050efbd7d76,Haymarket Square,Theatre District,1.0,16.5,Lyft,2018-12-17 02:30:12, Light Rain ,1.27
341323,1981b2b5-6572-4710-ba5a-c4234079b050,South Station,Theatre District,1.0,27.5,Lyft,2018-12-03 19:48:06, Overcast ,1.13
386154,29d05c19-455e-4b28-8571-072ec8699103,North Station,Haymarket Square,1.0,11.0,Lyft,2018-11-27 08:39:23, Light Rain ,0.73
261536,db4043d6-d8aa-4477-aa43-94d2991ac2a2,North Station,Haymarket Square,1.0,7.0,Uber,2018-11-29 22:43:11, Partly Cloudy ,0.56
606363,ae743d2f-dd36-4019-afe3-e5e82b75e70d,North End,North Station,1.0,16.5,Lyft,2018-12-03 20:48:05, Mostly Cloudy ,1.01
310398,7027842d-b139-4dd6-a16d-5ad77a36e257,North End,North Station,1.0,11.5,Uber,2018-11-27 04:24:22, Rain ,1.03
668817,a0207d4e-8fc2-4e69-9056-1e015f1ddf02,Back Bay,North End,1.0,30.0,Lyft,2018-12-15 09:30:10, Overcast ,2.49
239332,604893a7-403b-4d6d-84fb-19f855bf5536,Back Bay,Boston University,1.0,16.5,Lyft,2018-11-29 15:08:02, Partly Cloudy ,1.46
11621,24105e22-0d99-42bd-b732-69271cb88728,North End,Back Bay,1.0,9.0,Lyft,2018-12-15 06:10:06, Overcast ,2.79
622166,7d0ca2b7-e8c6-4be9-9247-9999ce7ec053,Northeastern University,Back Bay,1.0,5.0,Lyft,2018-12-15 05:00:10, Overcast ,1.25
153599,fd34aecd-1099-40c5-8586-ee0739effa1e,North Station,Boston University,1.0,10.5,Uber,2018-12-01 15:33:01, Partly Cloudy ,3.01
589307,e1103275-71e3-47d2-9fb4-bf8aeb1dc41d,Northeastern University,Beacon Hill,1.0,19.5,Uber,2018-12-17 21:50:12, Mostly Cloudy ,2.61
50782,6b544978-ba27-4557-993a-4c54030348d4,South Station,North Station,1.0,13.0,Uber,2018-12-13 13:05:07, Partly Cloudy ,1.5
317712,90d16c20-9c2c-479d-beca-142116bca45d,Theatre District,Haymarket Square,1.0,8.0,Uber,2018-12-18 14:20:12, Mostly Cloudy ,1.61
483099,3f368036-c163-474c-885f-8eb8fce92073,Fenway,Financial District,1.0,19.5,Uber,2018-11-26 11:50:10, Foggy ,4.4
547961,050e224c-4cbb-46df-9664-1e5e54ede350,Haymarket Square,Back Bay,1.0,7.0,Lyft,2018-11-28 15:41:08, Mostly Cloudy ,2.42
352887,2bc5d7e8-445e-4147-be30-4ad5af21fb02,North Station,South Station,1.0,13.5,Uber,2018-12-16 15:00:10, Overcast ,2.17
568562,20e96e1c-1dd1-4e40-9fb7-33dea4db4952,Beacon Hill,Haymarket Square,1.0,27.5,Uber,2018-12-15 08:00:08, Overcast ,1.35
371266,3160b4a1-bf24-4049-83f5-ecd29accbfcf,Haymarket Square,Financial District,1.0,26.0,Lyft,2018-12-10 02:28:36, Clear ,1.05
536333,54a1b520-9c9c-4734-96e1-40a810980541,Boston University,Back Bay,1.0,8.0,Uber,2018-12-15 23:15:05, Partly Cloudy ,1.56
401364,5080c3b7-8a83-4bc1-983d-0c8d910084fb,Financial District,Northeastern University,1.0,26.0,Lyft,2018-12-14 19:05:07, Partly Cloudy ,3.43
145544,9a5e7cf1-eedd-4774-bf66-9346aedd82b6,West End,Fenway,1.0,16.0,Uber,2018-12-16 10:30:13, Overcast ,2.84
229343,84716f94-1484-436b-bada-dae4d5399fbb,Back Bay,North End,1.0,34.0,Lyft,2018-11-30 15:58:01, Clear ,2.63
525826,939f65ab-34b5-4083-845a-ee78156bdbc6,Financial District,North End,1.0,11.0,Lyft,2018-12-01 21:38:04, Mostly Cloudy ,1.03
655300,f0678f1f-39a1-4ff0-b562-d1683616fd77,Beacon Hill,Haymarket Square,1.0,26.0,Lyft,2018-11-30 19:38:00, Overcast ,1.39
115488,ef3ecb88-6239-4854-a373-546b4bfc92c6,Boston University,Theatre District,1.0,19.5,Lyft,2018-12-15 22:50:10, Partly Cloudy ,2.98
157245,979e4fb0-9e1f-4d18-b90c-e9d87d8bbfc9,North Station,South Station,1.0,30.0,Lyft,2018-12-17 13:40:05, Overcast ,2.09
264410,a4c3f390-eadd-4c99-913f-37d3ed19c9a0,Theatre District,South Station,1.0,10.5,Lyft,2018-11-30 19:57:59, Overcast ,0.56
567999,bd0d4593-0d90-44d0-a12e-f391df0341fb,North End,Back Bay,1.0,22.5,Lyft,2018-12-17 03:05:11, Light Rain ,2.53
633000,f42a60cf-e796-4a8c-a478-e7e6f7bdfef3,South Station,Beacon Hill,1.0,11.0,Uber,2018-11-27 18:09:23, Overcast ,2.5
156276,21d4dfe3-6f42-4082-96ad-d9ed67dfe05d,North End,Beacon Hill,1.0,14.0,Uber,2018-11-27 15:24:22, Overcast ,1.46
659290,8d33dd73-47ea-4aec-ace1-0692b53630e7,South Station,Back Bay,1.0,20.5,Uber,2018-12-02 03:28:06, Mostly Cloudy ,1.89
135460,9a4419a7-b8d7-4fc8-bc07-f5b6f8db0e66,Boston University,Financial District,1.0,22.5,Lyft,2018-12-13 22:55:14, Mostly Cloudy ,4.68
124839,1c65bbca-49e4-416a-9c79-00c789ab2d29,North End,North Station,1.0,16.0,Uber,2018-12-13 20:40:15, Mostly Cloudy ,1.03
240633,9a147a17-a484-49a8-901f-7ae79f54b00e,Fenway,Back Bay,1.0,7.0,Lyft,2018-12-15 16:10:14, Partly Cloudy ,1.45
208308,0ba92cc5-aee0-4432-a49a-e9bfdc6fcad8,South Station,West End,1.0,18.0,Uber,2018-11-29 03:19:12, Partly Cloudy ,1.77
618870,fc7b1746-c368-4004-b922-cb237e950b16,North End,North Station,1.0,5.5,Uber,2018-11-29 00:43:41, Mostly Cloudy ,1.03
85240,3cff3742-66d5-4571-9c4a-80e3da2ead69,Boston University,Theatre District,1.5,16.5,Lyft,2018-12-04 03:47:56, Mostly Cloudy ,2.89
143276,209d98d4-1a14-46c4-a737-7f737a809e48,South Station,West End,1.0,15.0,Uber,2018-12-16 13:15:05, Overcast ,1.62
300520,cc648144-229b-4c69-9649-9c581f16fbdd,West End,Fenway,1.0,7.0,Lyft,2018-11-28 15:41:08, Mostly Cloudy ,2.94
237628,08f122df-1d34-446b-915f-dec52a19aaa5,North End,North Station,1.0,3.0,Lyft,2018-12-16 04:25:08, Clear ,1.02
556884,1c70a7d3-e9fe-4460-9b25-4b918c6fac57,Boston University,North Station,1.0,33.0,Uber,2018-12-15 12:30:05, Overcast ,3.39
422907,b1bc25eb-8171-4857-85a8-173a83f8199a,Boston University,Theatre District,1.0,19.5,Lyft,2018-11-29 19:58:02, Mostly Cloudy ,2.94
202456,c698849f-f6ac-4bcf-a88d-885db6bf2f09,Northeastern University,Beacon Hill,1.0,18.5,Uber,2018-12-01 00:43:09, Overcast ,2.61
211966,ff02b82b-3f9c-40ed-89d0-9d49e0b459e3,Back Bay,Northeastern University,1.0,7.0,Uber,2018-11-26 13:26:09, Overcast ,1.22
90480,01dfc53d-0c50-457e-bdc8-9f56794f3f26,North Station,Northeastern University,1.0,19.5,Lyft,2018-11-29 13:57:55, Clear ,3.3
506524,d4a16850-12a6-4fbf-ab79-78efb210b8f6,Beacon Hill,North End,2.0,16.5,Lyft,2018-11-28 09:50:07, Partly Cloudy ,1.55
491331,f17f438f-0627-4304-90e3-3a1f006f917b,North End,Financial District,1.0,26.0,Lyft,2018-11-27 02:00:22, Rain ,1.16
626368,4cfaebc0-c3ab-4b4e-bae2-b91328a5b90a,North Station,North End,1.0,12.5,Uber,2018-12-17 18:10:12, Overcast ,0.9
667774,d1a2cd2b-09a8-4647-b459-fcfa86f6283b,North End,Financial District,1.0,9.5,Uber,2018-11-27 03:57:22, Rain ,1.04
285305,05e52070-5cca-48b4-b91d-bec68b423aa8,Financial District,Fenway,1.0,12.0,Uber,2018-11-27 12:42:22, Light Rain ,4.48
553402,01b68e7a-5669-43f5-b940-06c1222fcccc,Beacon Hill,North End,1.0,9.5,Uber,2018-12-17 16:55:11, Overcast ,1.38
573007,0a04873c-243e-46e9-96f4-dc91a48e5e81,Back Bay,South Station,1.0,15.0,Uber,2018-12-14 21:25:13, Mostly Cloudy ,1.71
408334,809ad54d-2b51-4dc1-84b3-e066a706f0b9,Fenway,Theatre District,1.0,34.0,Uber,2018-12-16 23:30:12, Light Rain ,2.38
276733,de47931f-46db-48d0-9db4-31c4c7819130,Beacon Hill,North End,1.0,10.0,Uber,2018-12-16 06:20:12, Clear ,1.87
273002,8f3ae4c2-c006-4630-8160-9588ba65a3d6,Back Bay,North End,1.0,26.0,Lyft,2018-12-17 17:25:12, Overcast ,2.74
396782,2a2de2d5-9bc0-443e-85e3-e199711eadad,Theatre District,Boston University,1.0,27.5,Lyft,2018-12-02 09:08:03, Light Rain ,4.74
491746,a3648d1a-58a8-4d9a-b695-34be5109797b,North Station,Fenway,1.0,10.5,Uber,2018-12-13 19:35:14, Mostly Cloudy ,3.05
3153,b5d2f4c5-43f8-401e-a6f6-8a531d5ef5b0,Northeastern University,Back Bay,1.0,7.5,Uber,2018-11-30 20:12:56, Overcast ,1.64
624503,69af9eb9-cd33-492c-a9f8-9db1efa5c5bb,Theatre District,South Station,1.0,7.0,Uber,2018-12-15 10:50:13, Overcast ,0.55
357178,ad818e5e-a6dd-4481-963b-f3a92d8a61ae,Back Bay,Haymarket Square,1.0,22.5,Lyft,2018-12-17 03:50:09, Light Rain ,2.41
308529,a572b23c-a9e5-4410-b18e-14deb3d74f9a,North End,Back Bay,1.0,7.0,Lyft,2018-11-26 06:28:02, Overcast ,2.89
680178,3a128f8c-7057-4111-8bcc-8739e4d6ee02,Theatre District,Boston University,1.0,10.5,Lyft,2018-12-03 03:47:59, Overcast ,3.19
100100,0732c6a3-07ee-4300-9e9f-66af2b6aae6c,South Station,Theatre District,1.0,26.0,Lyft,2018-12-01 09:52:58, Mostly Cloudy ,1.5
578772,ca8c05d2-6101-41e0-ad14-1ab67bd9f664,Haymarket Square,Beacon Hill,1.0,3.5,Lyft,2018-12-02 12:03:04, Light Rain ,0.95
422017,bdba720b-fab7-4463-8d80-d23acca3690a,Haymarket Square,Beacon Hill,1.0,10.5,Uber,2018-11-27 08:27:23, Light Rain ,0.91
669304,55af2620-5ec8-4d30-ab1d-57e0c3c20d55,Back Bay,North End,1.0,10.0,Uber,2018-12-17 00:45:11, Rain ,3.17
302419,494a7ac2-0bc4-4b82-9f34-b39b91e1c6ff,South Station,West End,1.0,22.5,Lyft,2018-12-01 08:03:02, Mostly Cloudy ,1.77
627731,0fc41d8e-dccf-4808-95fa-60b5417de3bb,West End,Boston University,1.0,19.5,Lyft,2018-12-17 16:55:14, Overcast ,2.86
207510,ab6fe212-3410-4fbe-8731-0d6b5761096b,Boston University,West End,1.0,34.0,Lyft,2018-11-27 00:45:23, Rain ,3.04
39476,354e98ce-6dd1-4299-93e6-49819fbf9af1,South Station,Theatre District,1.0,7.0,Lyft,2018-12-03 07:17:58, Overcast ,1.11
359489,0b70fa9f-803d-416a-8acb-13915fa15853,Theatre District,Fenway,1.25,26.0,Lyft,2018-12-17 03:25:14, Light Rain ,3.12
525411,5e68f798-648e-4d5e-9a79-0c44f0c19988,Financial District,Fenway,1.0,15.5,Uber,2018-12-18 14:50:05, Mostly Cloudy ,4.48
604952,9c9acce3-d22a-447a-9887-c2b7553888e2,Boston University,Beacon Hill,1.25,38.0,Lyft,2018-12-02 05:03:00, Overcast ,2.66
142106,cb8f89ea-a32f-4d05-a594-4741a815c5f3,West End,Fenway,1.0,19.5,Lyft,2018-11-30 23:47:58, Overcast ,2.91
313802,c33c0bd2-53b4-4086-8dab-7e1ddb2c6434,Theatre District,Northeastern University,1.0,8.0,Uber,2018-12-01 11:27:59, Mostly Cloudy ,1.81
486340,b97205ae-073b-4d0a-a104-94ee519e47ec,Financial District,Haymarket Square,1.0,7.0,Uber,2018-11-27 00:14:29, Rain ,0.92
521889,ecf52de1-06c5-494d-85dd-f8ae872acf12,North End,Financial District,1.0,26.0,Lyft,2018-12-02 22:48:04, Overcast ,1.13
308397,302a75b4-0169-4e24-98d1-6758f2565e33,North Station,North End,1.0,7.0,Lyft,2018-12-17 05:20:09, Drizzle ,1.07
628838,afc80f8e-d203-47ce-9577-78476ec4b270,Beacon Hill,South Station,1.0,10.5,Lyft,2018-12-18 15:35:04, Partly Cloudy ,2.37
353282,0843d916-5dc9-4d20-a14f-88d1954cbf24,North End,North Station,1.0,16.5,Lyft,2018-12-16 06:10:03, Clear ,1.07
90826,4b4adcb7-59bb-401f-940d-49a6d62fc719,Theatre District,Fenway,1.0,17.0,Uber,2018-11-27 19:21:23, Mostly Cloudy ,2.66
476103,ff013c92-afe2-4a98-8c8a-ed90359bfc16,Northeastern University,Theatre District,1.0,14.0,Uber,2018-12-14 17:05:12, Partly Cloudy ,1.91
421113,872fab53-6a4d-4177-9365-1e2c70ab2dde,Back Bay,Northeastern University,1.0,10.5,Uber,2018-11-27 08:15:23, Light Rain ,1.1
